Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
butter,1/2,cup,softened,171.0,7.857,5.343,14.4
white sugar,3/4,cup,,580.5,149.97,0.0,0.0
egg,2,,,143.0,0.72,12.56,9.51
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
purpose flour,2,cups,,-,-,-,-
baking powder,2,teaspoons,,4.876,2.5484,0.0,0.0
salt,1/2,teaspoon,,-,-,-,-
milk,1/2,cup,,74.42,5.8316,3.843,3.9894
blueberry,1 1/2,cups,,126.54,32.1678,1.6428,0.7326
purpose flour,2,tablespoons,,-,-,-,-
brown sugar,2,tablespoons,,68.4,17.6562,0.0216,0.0
cinnamon,1/4,teaspoon,ground,-,-,-,-
butter,2,tablespoons,chilled,171.0,7.857,5.343,14.4
