Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
butter,1,cup,cut,171.0,7.857,5.343,14.4
cocoa powder,3/4,cup,unsweetened,147.06,37.3455,12.642000000000001,8.8365
egg,2,,,143.0,0.72,12.56,9.51
cream,2/3,cup,sour,303.6,7.0993,3.7413,29.67
purpose flour,2,cups,,-,-,-,-
white sugar,2,cups,,1548.0,399.92,0.0,0.0
baking soda,1 1/2,teaspoons,,0.0,0.0,0.0,0.0
salt,3/4,teaspoon,,-,-,-,-
confectioner ' sugar,3,cups,,-,-,-,-
butter,1/2,cup,,171.0,7.857,5.343,14.4
chocolate,8,ounces,bittersweet chopped,1356.264,104.1012,17.6677,96.6848
heavy cream,2/3,cup,,272.0,2.1919999999999997,2.272,28.864
butter,2,tablespoons,,171.0,7.857,5.343,14.4
