Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
brown sugar,1/2,cup,,418.0,107.899,0.132,0.0
purpose flour,1,cup,,-,-,-,-
margarine,1/2,cup,melted,811.0319999999999,1.0152,1.0152,90.804
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
brown sugar,1,cup,,418.0,107.899,0.132,0.0
purpose flour,2,tablespoons,,-,-,-,-
baking powder,1/2,teaspoon,,1.219,0.6371,0.0,0.0
salt,1/4,teaspoon,,-,-,-,-
egg,2,,,143.0,0.72,12.56,9.51
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
walnut,1,cup,chopped,1927.12,0.0,0.0,218.0
coconut,1,cup,flaked,283.2,12.184000000000001,2.6639999999999997,26.791999999999998
confectioner sugar,1/4,cup,,-,-,-,-
