Ingredient,Quantity,Unit,Additional Information
chicken breasts or thighs - boneless and skinless,1,pound,
chow mein noodles (fresh or dried),12,ounces,
vegetable oil,2,tablespoons,
soy sauce,2,tablespoons,
oyster sauce,1,tablespoon,
Shaoxing wine (or dry sherry),1,tablespoon,
cornstarch,1,tablespoon,
white pepper,to taste,,
vegetable broth,0.5,cup,
garlic,2,cloves,
ginger,1,teaspoon,(minced),
carrots,1,cup,
red bell pepper,0.5,cup,
green onions,,,"(for garnish, chopped, white and green parts)"
bean sprouts,1,cup,
