Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
purpose flour,3,cups,,-,-,-,-
baking powder,1,teaspoon,,2.438,1.2742,0.0,0.0
baking soda,1,teaspoon,,0.0,0.0,0.0,0.0
salt,1,pinch,,-,-,-,-
butter,1,cup,,1368.0,62.856,42.744,115.2
white sugar,1 1/2,cups,,1161.0,299.94,0.0,0.0
egg,3,,,214.5,1.08,18.84,14.265
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
cream,1,cup,sour,455.4,10.649000000000001,5.612,44.505
walnut,1,cup,chopped,1927.12,0.0,0.0,218.0
white sugar,3/4,cup,,1161.0,299.94,0.0,0.0
cinnamon,1,tablespoon,ground,-,-,-,-
nutmeg,1,pinch,ground,0.7219,0.0678,0.008,0.0499
