Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
purpose flour,1 1/2,cups,,-,-,-,-
white sugar,1,tablespoon,,48.762,12.5975,0.0,0.0
baking powder,1/2,teaspoon,,1.219,0.6371,0.0,0.0
salt,1/2,teaspoon,,-,-,-,-
milk,2,cups,,297.68,23.3264,15.372,15.9576
butter,2,tablespoons,melted,171.0,7.857,5.343,14.4
egg,2,,,143.0,0.72,12.56,9.51
vanilla extract,1/2,teaspoon,,6.047999999999999,0.2656,0.0013,0.0013
vegetable oil,2,teaspoons,,78.1547,0.0,0.0,9.0667
coconut,1/2,cup,flaked,141.6,6.0920000000000005,1.3319999999999999,13.395999999999999
white sugar,1,tablespoon,,48.762,12.5975,0.0,0.0
cardamom,1/4,teaspoon,ground,1.555,0.3424,0.0538,0.0335
