Ingredient,Quantity,Unit,Additional Information
assorted shellfish,1,cup,"(shrimp, squid, mussels, clams, oysters, etc., cut into bite-sized pieces)"
all-purpose flour,1,cup,
potato starch,0.25,cup,(or cornstarch)
water,0.75,cup,"(cold, increase to 1 cup as necessary)"
egg - large,1,,"(optional, lightly beaten)"
green onions,7,stalks,(one bunch)
garlic,2,cloves,
red chili pepper - small,1,,"(optional, chopped)"
cooking oil,1,tablespoons,
sesame oil,1,tablespoon,
salt,to taste,,
black pepper - ground,to taste,,
