Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
olive oil,1,tablespoon,,119.34,0.0,0.0,13.5
onion,1,,diced,64.0,14.944,1.76,0.16
garlic,2,cloves,minced,8.94,1.9836,0.3816,0.03
bell pepper,1,,chopped,-,-,-,-
black bean,2,cans,rinsed drained mashed,1983.6282,362.7538,125.6492,8.2603
yellow cornmeal,2,tablespoons,,50.935,10.7177,1.2627,0.5185
cumin,1 1/2,tablespoons,,33.75,3.9816,1.6029,2.0043
paprika,1,teaspoon,,6.486000000000001,1.2418,0.3252,0.2965
cayenne pepper,1,teaspoon,,5.724,1.0193,0.2162,0.3109
chili powder,1,teaspoon,,7.614,1.3419,0.3634,0.3856
salsa,1,cup,,75.4,17.264,3.952,0.442
