Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
salt,4,teaspoons,,-,-,-,-
paprika,2,teaspoons,,12.972000000000001,2.4835,0.6504,0.5929
onion powder,1,teaspoon,,8.184,1.8989,0.2498,0.025
thyme,1,teaspoon,,0.8079999999999999,0.1956,0.0445,0.0134
white pepper,1,teaspoon,,7.104,1.6466,0.2496,0.0509
cayenne pepper,1/2,teaspoon,,2.862,0.5097,0.1081,0.1554
black pepper,1/2,teaspoon,,2.8865,0.7354,0.1195,0.0375
garlic powder,1/2,teaspoon,,5.1305,1.1273,0.2565,0.0113
onion,2,,quartered,128.0,29.888,3.52,0.32
chicken,2,,,-,-,-,-
