Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
white rice,1,cup,uncooked,675.25,147.9075,13.1905,1.2209999999999999
water,2,cups,,0.0,0.0,0.0,0.0
sesame oil,2,tablespoons,,240.44799999999998,0.0,0.0,27.2
green onion,3,,sliced,57.51,12.2262,2.0661,1.0011
ham,1,cup,diced,-,-,-,-
pea,1/2,cup,,20.58,3.6995,1.3719999999999999,0.098
pineapple chunk,1,can,drained,315.8921,81.5442,1.4693,0.3673
egg,1,,beaten,71.5,0.36,6.28,4.755
white sugar,1,tablespoon,,48.762,12.5975,0.0,0.0
salt,1,teaspoon,,-,-,-,-
white pepper,1/2,teaspoon,,3.552,0.8233,0.1248,0.0254
garlic powder,1/2,teaspoon,,5.1305,1.1273,0.2565,0.0113
soy sauce,1/4,cup,,33.7875,3.1429,5.1892,0.3634
