Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
head cauliflower,1,,,-,-,-,-
olive oil,1,tablespoon,,119.34,0.0,0.0,13.5
beef,1,pound,ground,898.1139999999999,0.0,88.0877,57.7424
onion,1,,chopped,60.0,14.01,1.65,0.15
water,4,cups,,0.0,0.0,0.0,0.0
salt,1,teaspoon,,-,-,-,-
black pepper,1,teaspoon,ground,5.773,1.4708,0.239,0.075
cumin,1,teaspoon,ground,7.875,0.929,0.374,0.4677
oregano,1/2,teaspoon,,1.325,0.3446,0.045,0.0214
curry powder,1/2,teaspoon,,3.25,0.5583,0.1429,0.1401
turmeric,1/2,teaspoon,ground,4.68,1.0071,0.1452,0.0488
garlic,2,cloves,chopped,8.94,1.9836,0.3816,0.03
white rice,2,cups,uncooked,1350.5,295.815,26.381,2.4419999999999997
