Ingredient,Quantity,Unit,Additional Information
Part A,"For the Tostada Shells"
Corn tortillas - large,8,,
Vegetable oil,as needed,,enough for frying
Cooking spray,as needed,,
Part B,"Toppings"
Refried beans,2,cups,"(optional,homemade or canned)"
Chicken - cooked,2,cups,"(optional,shredded)"
Beef - cooked,2,cups,"(optional,shredded)"
Cheddar cheese,2,cups,"(optional,or substitute Monterey Jack or Mexican blend)"
Lettuce,2,cups,"(optional,chopped)"
Tomato - medium,1,,"(optional,diced)"
Red onion - medium,0.5,,"(optional,chopped)"
Avocado - large,1,,"(optional,sliced)"
Guacamole,1,cup,(optional)
Salsa,to taste,,
Sour cream,to taste,,
Cilantro,to taste,,(chopped)
Pickled jalapenos,to taste,,
Lime wedges,to taste,,
