Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
white sugar,1,cup,,774.0,199.96,0.0,0.0
shortening,2,cups,,3624.4,0.0,0.0,410.0
egg yolk,2,,,109.48,1.2206,5.3924,9.0236
molasses,1,cup,,977.3,251.8401,0.0,0.337
purpose flour,5 1/2,cups,,-,-,-,-
cream tartar,2,teaspoons,,15.48,3.69,0.0,0.0
baking soda,4,teaspoons,,0.0,0.0,0.0,0.0
salt,2,teaspoons,,-,-,-,-
cinnamon,1,tablespoon,ground,-,-,-,-
ginger,1,tablespoon,ground,4.8,1.0662,0.1092,0.045
milk,1,cup,sour,552.0,13.296,5.496,57.216
white sugar,1 1/2,cups,,774.0,199.96,0.0,0.0
white vinegar,1/2,teaspoon,distilled,0.45,0.001,0.0,0.0
water,1/2,cup,,0.0,0.0,0.0,0.0
marshmallow,18,,,-,-,-,-
egg white,2,,,34.32,0.4818,7.194,0.1122
confectioner sugar,1 1/2,cups,,-,-,-,-
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
