Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
yogurt,3,cups,,448.35,34.251,25.5045,23.8875
chicken,1,,cut,-,-,-,-
milk,3 1/2,cups,,520.94,40.8212,26.901,27.9258
egg,4,,,286.0,1.44,25.12,19.02
purpose flour,5,cups,,-,-,-,-
salt,1,teaspoon,,-,-,-,-
black pepper,1,teaspoon,cracked,5.773,1.4708,0.239,0.075
curry powder,3/4,teaspoon,,4.875,0.8374,0.2144,0.2102
paprika,1/4,teaspoon,,1.6215,0.3104,0.0813,0.0741
peanut oil,3,cups,,5728.32,0.0,0.0,648.0
