Ingredient,Quantity,Unit,Additional Information
Boneless skinless chicken breasts,2,,
Olive Oil,1.5,tablespoons,
Yellow Onion,1,,
Garlic,2,cloves,
Chili Powder,1,tablespoon,
Cumin,1,teaspoon,
Smoked Paprika,0.5,teaspoon,
Dried Oregano,0.5,teaspoon,
Salt,0.75,teaspoon,
Black Pepper,0.25,teaspoon,
Chicken Broth,1,cup,
Lime Juice,0.25,cup,
Corn Tortillas,12,,
Cheddar cheese - shredded,1,cup,"(cheddar, Monterey Jack, or your favorite)"
Cilantro - chopped,0.25,cup,(for garnish),
Taco Toppings,,,"(optional:  chopped onion, salsa, avocado slices, etc.)"
