Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
canola oil,3,tablespoons,,371.28,0.0,0.0,42.0
cumin seed,2,teaspoons,,15.75,1.8581,0.748,0.9353
caraway seed,1,teaspoon,,6.992999999999999,1.0479,0.4152,0.3064
red onion,1/2,,chopped,32.0,7.472,0.88,0.08
garlic,4,cloves,minced,17.88,3.9672,0.7632,0.06
head cauliflower,1,,cut,-,-,-,-
potato,1,,diced,-,-,-,-
red chili powder,1,teaspoon,,-,-,-,-
turmeric,1,teaspoon,ground,9.36,2.0142,0.2904,0.0975
salt,1,teaspoon,,-,-,-,-
cilantro,1/4,cup,chopped,0.92,0.1468,0.0852,0.0208
