Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
purpose flour,2,cups,,-,-,-,-
curry powder,1 1/2,teaspoons,,9.75,1.6749,0.4287,0.4203
salt,1,dash,,-,-,-,-
margarine,1/4,cup,,405.51599999999996,0.5076,0.5076,45.402
shortening,1/4,cup,,453.05,0.0,0.0,51.25
water,1/3,cup,,0.0,0.0,0.0,0.0
margarine,2,tablespoons,,405.51599999999996,0.5076,0.5076,45.402
beef,1,pound,ground,898.1139999999999,0.0,88.0877,57.7424
onion,1,,diced,28.0,6.537999999999999,0.77,0.07
curry powder,1,teaspoon,,9.75,1.6749,0.4287,0.4203
thyme,1,teaspoon,,0.8079999999999999,0.1956,0.0445,0.0134
salt,1,teaspoon,,-,-,-,-
pepper,1,teaspoon,,5.773,1.4708,0.239,0.075
beef broth,1/2,cup,,8.4,0.048,1.368,0.264
bread crumb,1/2,cup,,213.3,38.8692,7.209,2.862
egg,1,,beaten,71.5,0.36,6.28,4.755
