Ingredient,Quantity,Unit,Additional Information
Extra virgin olive oil,2,tablespoons,
Yellow onion - medium,1,,
Garlic,2,cloves,
Red bell pepper - medium,1,,
Green bell pepper - medium,1,,
Mushrooms,8,ounces,
Crushed tomatoes,1,28-ounce can,
Tomato paste,6,ounces,
Dried oregano,1,teaspoon,
Dried basil,0.5,teaspoon,
Red pepper flakes (crushed),0.5,teaspoon,
Water,0.5,cup,
Kosher salt,to taste,,
Black pepper,to taste,,
Lasagna noodles,12,,
Ricotta cheese,15,ounces,
Spinach,10,ounces,"(fresh, chopped)"
Mozzarella cheese,1,cup,"(shredded, divided)"
Parmesan cheese,0.5,cup,
Whole milk,1,cup,
Fresh basil leaves,0.25,cup,"(optional, chopped, for garnish)"
