Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
banana,3,,ripe mashed,600.75,154.17,7.3575,2.2275
white vinegar,1,teaspoon,distilled,0.9,0.002,0.0,0.0
white sugar,1 1/2,cups,,1161.0,299.94,0.0,0.0
butter,1/2,cup,softened,684.0,31.428,21.372,57.6
egg,2,,beaten,143.0,0.72,12.56,9.51
purpose flour,2 1/4,cups,,-,-,-,-
baking soda,3/4,teaspoon,,0.0,0.0,0.0,0.0
baking powder,1/2,teaspoon,,1.219,0.6371,0.0,0.0
salt,1/2,teaspoon,,-,-,-,-
walnut,1/2,cup,chopped,963.56,0.0,0.0,109.0
chocolate chip,1/2,cup,,-,-,-,-
