Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
purpose flour,1,cup,,-,-,-,-
wheat flour,1,cup,,408.0,86.36399999999999,15.852,3.0
baking powder,1,tablespoon,,7.314,3.8226,0.0,0.0
white sugar,1,tablespoon,,32.508,8.3983,0.0,0.0
salt,1/2,teaspoon,,-,-,-,-
butter,1/4,cup,,342.0,15.714,10.686,28.8
egg,2,,beaten,143.0,0.72,12.56,9.51
heavy cream,1/3,cup,,136.0,1.0959999999999999,1.136,14.432
egg white,1,,,17.16,0.2409,3.597,0.0561
white sugar,2,teaspoons,,32.508,8.3983,0.0,0.0
