Ingredient,Quantity,Unit,Additional Information
yakisoba noodles,0.66,pounds,"(about 2 packages, fresh or dried)"
boneless skinless chicken thigh,1,,
vegetable oil,1,tablespoon,
soy sauce,0.25,cup,
oyster sauce,1,tablespoon,
Worcestershire sauce,1,tablespoon,
brown sugar,1,tablespoon,
ketchup,2,tablespoons,
white pepper,to taste,,
carrot - medium,1,,
onion - medium,1,,(julienned),
napa cabbage,0.5,head,
bean sprouts,1,cup,
green onions,,,"(optional,sliced,for garnish)"
aonori (dried seaweed flakes),,,"(optional,for garnish)"
beni shoga (red pickled ginger),,,"(optional,for garnish)"
