Ingredient,Quantity,Unit,Additional Information
boneless skinless chicken breasts or thighs,1,pound,
cornstarch,2,tablespoons,
soy sauce - light,3,tablespoons,
Shaoxing wine (or dry sherry),1,tablespoon,
vegetable oil,2,tablespoons,
garlic,3,cloves,
ginger,1,tablespoons,
chicken broth,1,cup,
water,0.25,cup,
oyster sauce,1,tablespoon,
honey,1,tablespoon,
rice vinegar,1,tablespoon,
white pepper,to taste,,
broccoli florets,2,cups,cut into bite-sized pieces
sesame oil,0.5,teaspoon,"(optional, toasted)"
green onions,,,"(chopped,for garnish)"
