Ingredient,Quantity,Unit,Additional Information
Pork shoulder,1.5,pounds,
Water,8,cups,
Garlic,4,cloves,(minced)
Dried oregano,1,teaspoon,
Dried thyme,0.5,teaspoon,
Bay leaves,2,,
Hominy,4,cups,(canned or dried)
Guajillo chiles - dried,6,,
Pasilla chiles - dried,4,,(or substitute Ancho chiles)
Guajillo chiles - dried,2,,(optional)
Onion - medium,1,,(chopped)
Olive oil,1,tablespoon,
Salt,to taste,,
Black pepper,to taste,,
Radishes,,,"(optional, thinly sliced)"
Shredded cabbage,,,(optional)
Chopped cilantro,,,(optional)
Lime wedges,,,(optional)
Avocado,,,"(optional, sliced)"
Toasted pumpkin seeds,,,(optional)
