Ingredient,Quantity,Unit,Additional Information
boneless pork shoulder or loin,1,pound,
cornstarch,3,tablespoons,
soy sauce,2,tablespoons,
Shaoxing wine (or dry sherry),1,tablespoon,
vegetable oil,as needed,,for frying
egg white - large,1,,
white vinegar,0.5,cup,
ketchup,0.33,cup,
light brown sugar,0.33,cup,
pineapple chunks,1,cup,"(canned, drained, with juice reserved)"
red bell pepper,,0.5,"(optional, julienned)"
green bell pepper,0.5,,"(optional, julienned)"
onion,0.5,,"(optional,julienned)"
water,0.25,cup,
salt,to taste,,
black pepper,to taste,,
