Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
pie crust,3,,unbaked,-,-,-,-
egg,4,,,286.0,1.44,25.12,19.02
white sugar,2,cups,,1548.0,399.92,0.0,0.0
butter,1/2,cup,melted,171.0,7.857,5.343,14.4
purpose flour,2,tablespoons,,-,-,-,-
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
heavy cream,1,cup,,408.0,3.2880000000000003,3.408,43.29600000000001
brown sugar,1 1/2,cups,,1254.0,323.697,0.396,0.0
heavy cream,1,cup,,408.0,3.2880000000000003,3.408,43.29600000000001
white sugar,1/2,cup,,1548.0,399.92,0.0,0.0
butter,2,tablespoons,,171.0,7.857,5.343,14.4
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
