Ingredient,Quantity,Unit,Additional Information
Korean rice cakes (tteokbokki),1,pound,
gochujang (Korean chili paste),3,tablespoons,
fish cake (odeng),1,package,"(optional, sliced)"
onion - medium,0.5,,
cabbage,0.25,head,(thinly sliced),
garlic,2,cloves,
sugar,1,tablespoon,
soy sauce,1.5,tablespoons,
vegetable oil,1,tablespoon,
sesame oil,1,tablespoon,
fish sauce,1,teaspoon,
Korean fish cake broth (dashi),2,cups,
green onions,,,"(optional, chopped, for garnish)"
sesame seeds,,,"(optional,for garnish)"
