Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
paprika,1 1/2,teaspoons,,9.729,1.8627,0.4878,0.4447
brown sugar,1,teaspoon,,11.4,2.9427,0.0036,0.0
black pepper,1/4,teaspoon,,1.4432,0.3677,0.0597,0.0187
onion powder,1/4,teaspoon,,2.046,0.4747,0.0625,0.0062
thyme,1/4,teaspoon,,0.20199999999999999,0.0489,0.0111,0.0034
rosemary,1/4,teaspoon,,0.2292,0.0362,0.0058,0.0103
garlic powder,1/4,teaspoon,,2.5653,0.5637,0.1283,0.0057
cayenne pepper,1/8,teaspoon,,0.7155,0.1274,0.027000000000000003,0.0389
potato,2,,sweet,-,-,-,-
olive oil,1 1/2,teaspoons,,59.67,0.0,0.0,6.75
