Ingredient,Quantity,Unit,Additional Information
Part A,"For the Meatballs",
ground beef,1,pound,(80/20 lean-to-fat ratio)
breadcrumbs,0.5,cup,(panko breadcrumbs recommended)
parmesan cheese - shredded,0.25,cup
fresh parsley,0.25,cup,chopped
egg - large,1,
milk,0.25,cup
garlic,2,cloves,(minced)
onion - small,0.5,,(diced)
salt,to taste,,
black pepper,to taste,,
Part B,"For the Spaghetti and Sauce"
spaghetti,12,ounces,
olive oil,1,tablespoon,
onion - medium,1,,diced
garlic,2,cloves,(minced)
crushed tomatoes,1,28-ounce can,
tomato paste,1,tablespoon,
dried oregano,1,teaspoon,
dried basil,0.5,teaspoon,
red pepper flakes,pinch,,(optional)
salt,to taste,,
black pepper,to taste,,
fresh basil leaves,,,"(optional,for garnish)"
