Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
white rice,1,cup,,675.25,147.9075,13.1905,1.2209999999999999
water,2,cups,,0.0,0.0,0.0,0.0
butter,1,tablespoon,,85.5,3.9285,2.6715,7.2
yellow onion,1/2,,chopped sweet,57.42,3.4191,0.4132,4.698
garlic,2,cloves,minced,8.94,1.9836,0.3816,0.03
butter,1,tablespoon,,85.5,3.9285,2.6715,7.2
chili powder,1,tablespoon,,22.56,3.9760000000000004,1.0768,1.1424
paprika,1,tablespoon,,19.176,3.6713,0.9615,0.8765
cumin,1,teaspoon,ground,7.875,0.929,0.374,0.4677
black pepper,1,teaspoon,cracked,5.773,1.4708,0.239,0.075
cayenne pepper,1,teaspoon,,5.724,1.0193,0.2162,0.3109
clove,1/4,teaspoon,ground,1.4385,0.344,0.0313,0.0682
nutmeg,1/4,teaspoon,ground,2.8875,0.2711,0.0321,0.1997
black bean,1,can,drained,991.8141,181.3769,62.8246,4.1301
tomato sauce,1,can,,-,-,-,-
flour tortilla,8,,warmed,-,-,-,-
cilantro,2,tablespoons,chopped,0.46,0.0734,0.0426,0.0104
