Ingredient,Quantity,Unit,Additional Information
vegetable oil,1.5,tablespoons,
cabbage,2,cups,thinly sliced
carrots - shredded,1.5,cups
celery,1,cup,thinly sliced
red bell pepper,1,cup,thinly sliced
broccoli florets,1.5,cups,cut into bite-sized pieces
bean sprouts,1,cup,"(optional, fresh)"
garlic,2,cloves,
ginger,1,tablespoon,
soy sauce - light,3,tablespoons,
oyster sauce - vegetarian,1,tablespoon,
brown sugar,1,tablespoon,
rice vinegar,1,tablespoon,
cornstarch,1,tablespoon,
water,0.25,cup,
chow mein noodles,12,ounces,
toasted sesame seeds,,,"(optional, for garnish)"
green onions,,,"(optional, chopped,for garnish)"
