Ingredient,Quantity,Unit,Additional Information
Ground Beef,1,pound,
Olive Oil,1,tablespoon,
Yellow Onion,1,,
Garlic,2,cloves,,
Chili Powder,1,tablespoon,
Cumin,1,teaspoon,
Smoked Paprika,0.5,teaspoon,(optional),
Dried Oregano,0.5,teaspoon,
Salt,0.75,teaspoon,
Black Pepper,0.25,teaspoon,
Diced Tomatoes,1,14-ounce can,
Beef Broth,0.5,cup,
Flour Tortillas - large,6,,
Cheddar cheese - shredded,1.5,cups,
Fillings, , , "(optional; cooked rice, black beans, pinto beans, lettuce, pico de gallo, guacamole, sour cream)"
