Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
olive oil,1,tablespoon,,119.34,0.0,0.0,13.5
onion,1,,diced,64.0,14.944,1.76,0.16
vegetable broth,3,cups,,487.08,78.96600000000001,17.8596,11.5128
carrot,2,,peeled julienned,104.96,24.5248,2.3808,0.6144
turnip,2,,peeled julienned,34.16,7.8446,1.0979999999999999,0.122
potato,1,,julienned sweet,-,-,-,-
zucchini,1,,julienned,2.31,0.3421,0.2981,0.044000000000000004
red bell pepper,1,,julienned,-,-,-,-
garbanzo bean,1,can,drained,1133.4333,188.7556,61.3793,18.1109
tomato sauce,1,can,,-,-,-,-
cinnamon,1/4,teaspoon,ground,-,-,-,-
turmeric,1/2,teaspoon,ground,4.68,1.0071,0.1452,0.0488
saffron,1,pinch,,0.1356,0.0286,0.005,0.0026
curry powder,1,pinch,,0.4062,0.0698,0.0179,0.0175
couscous,2,cups,uncooked,1300.96,267.9078,44.1496,2.2144
