Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
spaghetti,12,ounces,uncooked,1272.24,255.8502,45.657,5.3694
olive oil,1,tablespoon,,119.34,0.0,0.0,13.5
butter,1,tablespoon,,85.5,3.9285,2.6715,7.2
artichoke heart,1,can,marinated,-,-,-,-
onion,1,,,28.0,6.537999999999999,0.77,0.07
garlic,3,cloves,chopped,13.41,2.9754,0.5724,0.045
salt,1/2,teaspoon,,-,-,-,-
black pepper,1/4,teaspoon,ground,1.4432,0.3677,0.0597,0.0187
cayenne pepper,1/8,teaspoon,ground,0.7155,0.1274,0.027000000000000003,0.0389
oregano,1,teaspoon,,2.65,0.6892,0.09,0.0428
cottage cheese,1/2,cup,low fat,102.9,3.549,11.675999999999998,4.515
cream,1/2,cup,sour low fat,396.0,7.98,4.356,41.61600000000001
parmesan cheese,1/2,cup,grated,148.0,16.0,16.0,2.0
