Ingredient,Quantity,Unit,Additional Information
Part A,"For the Batter"
Dashi stock,1.5,cups,(pre-made or homemade)
Eggs - large,2
All-purpose flour,1,cup
Baking powder,1.5,teaspoons
Vegetable oil,1,tablespoon,(for greasing)
Part B,"For the Filling"
Cooked octopus,3.5,ounces,"(chopped,about)"
Tenkasu (tempura flakes),0.33,cup
Beni shoga (red pickled ginger),2,tablespoons,(minced)
Green onions,0.33,cup,thinly sliced
Part C,"For the Toppings"
Takoyaki sauce,0.25,cup,(optional)
Kewpie mayonnaise ,0.25,cup,"(optional)"
Bonito flakes (katsuobushi),,,"(optional, to taste)"
Aonori (dried seaweed flakes),,,"(optional, to taste)"
Part D,"Additional Fillings"
Shredded cheese,,,(optional)
Shrimp tempura,,,(optional)
Pickled plum (umeboshi),,,(optional)
