Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
ketchup,1,cup,,-,-,-,-
water,1/4,cup,,0.0,0.0,0.0,0.0
corn syrup,1/3,cup,,321.6767,87.2846,0.0,0.2273
molasses,1/3,cup,,325.7667,83.9467,0.0,0.1123
worcestershire sauce,1,teaspoon,,4.42,1.1027,0.0,0.0
sauce,1,teaspoon,,9.85,0.27399999999999997,0.5165,0.746
garlic powder,1/4,teaspoon,,2.5653,0.5637,0.1283,0.0057
onion powder,1/4,teaspoon,,2.046,0.4747,0.0625,0.0062
salt,1/4,teaspoon,,-,-,-,-
black pepper,1/4,teaspoon,ground,1.4432,0.3677,0.0597,0.0187
nutmeg,1,dash,ground,-,-,-,-
