Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
wheat flour,1,cup,,408.0,86.36399999999999,15.852,3.0
white sugar,2,tablespoons,,97.524,25.195,0.0,0.0
baking powder,2 1/2,teaspoons,,6.095,3.1855,0.0,0.0
salt,1/2,teaspoon,,-,-,-,-
cinnamon,1/4,teaspoon,ground,-,-,-,-
nutmeg,1,dash,ground,-,-,-,-
clove,1,dash,ground,-,-,-,-
egg,1,,beaten,71.5,0.36,6.28,4.755
milk,3/4,cup,,111.63,8.7474,5.7645,5.9841
butter,2,tablespoons,unsalted melted,171.0,7.857,5.343,14.4
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
