Ingredient,Quantity,Unit,Additional Information
boneless skinless chicken breast,1,pound,
cornstarch,1.5,tablespoons,
soy sauce - low-sodium,0.25,cup,"(low-sodium preferred, divided use)"
Shaoxing wine (or dry sherry),1,tablespoon,
vegetable oil,1,tablespoon,
white pepper,to taste,,
white or button mushrooms,1,cup,
water chestnuts,1,cup,"(canned, sliced and drained)"
snow peas,1,cup,trimmed and strings removed
bamboo shoots,0.5,cup,"(canned, sliced and drained)"
garlic,2,cloves,
ginger,1,tablespoons,
chicken broth,0.5,cup,
oyster sauce - vegetarian,1,tablespoon,
sugar - white,1.5,tablespoons,
rice vinegar,1,tablespoon,
sesame oil,1,tablespoons,
green onions,,,"(chopped, for garnish)"
