Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
white sugar,1/2,cup,,387.0,99.98,0.0,0.0
brown sugar,1/2,cup,,418.0,107.899,0.132,0.0
purpose flour,1/8,cup,sifted,-,-,-,-
salt,1/4,teaspoon,,-,-,-,-
milk,1/4,cup,,37.21,2.9158,1.9215,1.9947
margarine,1/4,cup,,405.51599999999996,0.5076,0.5076,45.402
egg yolk,1,,,54.74,0.6103,2.6962,4.5118
egg,1,,,71.5,0.36,6.28,4.755
vanilla extract,1/2,teaspoon,,6.047999999999999,0.2656,0.0013,0.0013
pie crust,1,,unbaked,-,-,-,-
