Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
egg,3,,,214.5,1.08,18.84,14.265
white sugar,3/4,cup,,580.5,149.97,0.0,0.0
brown sugar,3/4,cup,,627.0,161.8485,0.198,0.0
lemon juice,2,teaspoons,,2.2367,0.7015,0.0356,0.0244
almond,2/3,cup,chopped,1284.7467,0.0,0.0,145.3333
baking powder,1,teaspoon,,2.438,1.2742,0.0,0.0
cinnamon,1,teaspoon,ground,-,-,-,-
ginger,1,teaspoon,ground,1.6,0.3554,0.0364,0.015
black pepper,1,teaspoon,ground,5.773,1.4708,0.239,0.075
allspice,1/2,teaspoon,ground,2.4985,0.6851,0.0579,0.0826
clove,1/2,teaspoon,ground,2.877,0.6881,0.0627,0.1365
purpose flour,3,cups,,-,-,-,-
confectioner sugar,1,cup,,-,-,-,-
water,2,teaspoons,,0.0,0.0,0.0,0.0
