Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
chickpea,1,can,drained,1133.4333,188.7556,61.3793,18.1109
onion,1,,chopped,64.0,14.944,1.76,0.16
parsley,1/2,cup,,10.8,1.899,0.8909999999999999,0.237
garlic,2,cloves,chopped,8.94,1.9836,0.3816,0.03
egg,1,,,71.5,0.36,6.28,4.755
cumin,2,teaspoons,ground,15.75,1.8581,0.748,0.9353
coriander,1,teaspoon,ground,5.364,0.9898,0.2227,0.3199
salt,1,teaspoon,,-,-,-,-
baking powder,1,teaspoon,,2.438,1.2742,0.0,0.0
lemon juice,1,teaspoon,,1.1183,0.3508,0.0178,0.0122
black pepper,1/4,teaspoon,ground,1.4432,0.3677,0.0597,0.0187
cayenne pepper,1,pinch,,0.3578,0.0637,0.0135,0.0194
olive oil,1,tablespoon,,119.34,0.0,0.0,13.5
bread crumb,1,cup,,426.6,77.7384,14.418,5.724
oil,1,cup,,1795.8,0.0,0.574,203.93400000000003
