Ingredient,Quantity,Unit,Additional Information
Cremini mushrooms - medium,8,,(or large white button mushrooms)
Extra virgin olive oil,2,tablespoons,
Onion - medium,0.5,,(finely chopped)
Garlic,2,cloves,(minced)
Italian sausage (mild or hot),4,ounces,(casings removed and crumbled)
Fresh breadcrumbs,0.5,cup,
Parmigiano-Reggiano cheese,0.33,cup,(freshly grated)
Fresh parsley,0.25,cup,(chopped)
Salt,to taste,,
Freshly ground black pepper,to taste,,
Dry white wine,0.25,cup,(optional)
Vegetable broth - low-sodium,0.25,cup,(or chicken broth)
Fresh basil leaves,,,"(optional, for garnish)"
