Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
purpose flour,2,cups,,-,-,-,-
baking powder,1,teaspoon,,2.438,1.2742,0.0,0.0
baking soda,1,teaspoon,,0.0,0.0,0.0,0.0
salt,1/2,teaspoon,,-,-,-,-
butter,1,cup,softened,1368.0,62.856,42.744,115.2
white sugar,1,cup,,774.0,199.96,0.0,0.0
brown sugar,1,cup,,836.0,215.798,0.264,0.0
egg,2,,,143.0,0.72,12.56,9.51
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
oat,2,cups,rolled,462.48,124.4936,32.524,13.2164
chocolate chip,1,cup,semisweet,-,-,-,-
