Ingredient,Quantity,Unit,Additional Information
all-purpose flour,0.5,cup,
water,1,cup,
dashi powder,0.5,teaspoon,(optional)
egg - large,1,,
cabbage - shredded,2,cups,
okonomiyaki sauce,to taste,,
mayonnaise,to taste,,
bonito flakes (katsuobushi),to taste,,
aonori (dried seaweed flakes),to taste,,
vegetable oil,1,tablespoon,
beni shoga (red pickled ginger),,,"(optional,for garnish)"
tenkasu (tempura flakes),,,"(optional,for garnish)"
green onions,,,"(optional,for garnish)"
meat,,,"(optional,for filling, such as pork belly, seafood, etc)"
