Ingredient,Quantity,Unit,Additional Information
Boneless skinless chicken thighs,1.5,pounds,
Vegetable oil,2,tablespoons,
Onion - large,1,,
Garlic,3,cloves,
Ginger,1,inch,
Curry powder,2,tablespoons,
Ground cumin,1,teaspoon,
Ground coriander,1,teaspoon,
Turmeric,1,teaspoon,
Cayenne pepper,0.25,teaspoon,
Cinnamon,0.5,teaspoon,
Coconut milk,1,13.5-ounce can,
Tomato paste,2,tablespoons,
Chicken broth,1,cup,
Carrots - medium,2,,
Potatoes - medium,2,,
Frozen peas,1,cup,
Salt,to taste,,
Black pepper,to taste,,
Fresh cilantro,,,(for garnish)
Cooked rice,as needed,,(for serving)
