Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
vegetable oil,2,tablespoons,,234.46400000000003,0.0,0.0,27.2
onion,3,,chopped,192.0,44.832,5.28,0.48
vegetable oil,2,tablespoons,,234.46400000000003,0.0,0.0,27.2
beef,1 1/2,pounds,ground lean,795.6018,0.0,156.8764,18.292
salt,1,teaspoon,,-,-,-,-
black pepper,1/8,teaspoon,ground,0.7216,0.1839,0.0299,0.0094
purpose flour,2,cups,,-,-,-,-
salt,1/8,teaspoon,,-,-,-,-
egg,1,,beaten,71.5,0.36,6.28,4.755
water,1/2,cup,,0.0,0.0,0.0,0.0
