Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
brown sugar,1/4,cup,,209.0,53.9495,0.066,0.0
white sugar,1/4,cup,,193.5,49.99,0.0,0.0
cinnamon,1/2,teaspoon,ground,-,-,-,-
butter,1/2,cup,softened,684.0,31.428,21.372,57.6
white sugar,1/4,cup,,193.5,49.99,0.0,0.0
cream,1/2,cup,sour,227.7,5.3245,2.806,22.2525
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
egg,1,,,71.5,0.36,6.28,4.755
purpose flour,1,cup,,-,-,-,-
baking soda,1/2,teaspoon,,0.0,0.0,0.0,0.0
salt,1,pinch,,-,-,-,-
raisin,1/3,cup,,166.1,43.736000000000004,1.8645,0.253
