Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
carrot,3,,cubed,88.56,20.6928,2.0088,0.5184
turnip,1,,cubed,51.24,11.7669,1.6469999999999998,0.183
butter,3,tablespoons,softened,256.5,11.7855,8.0145,21.6
salt,1/2,teaspoon,,-,-,-,-
purpose flour,1/4,cup,,-,-,-,-
white sugar,1/4,cup,,193.5,49.99,0.0,0.0
egg,2,,,143.0,0.72,12.56,9.51
milk,1/2,cup,,74.42,5.8316,3.843,3.9894
white sugar,2,tablespoons,,193.5,49.99,0.0,0.0
cinnamon,1/4,teaspoon,ground,-,-,-,-
