Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
butter,1,cup,,1368.0,62.856,42.744,115.2
white sugar,2,cups,,1548.0,399.92,0.0,0.0
purpose flour,3,cups,,-,-,-,-
egg,6,,,429.0,2.16,37.68,28.53
baking powder,2,teaspoons,,4.876,2.5484,0.0,0.0
milk,1,cup,,148.84,11.6632,7.686,7.9788
baking soda,1/2,teaspoon,,0.0,0.0,0.0,0.0
lemon juice,1,tablespoon,,3.355,1.0523,0.0534,0.0366
almond,1/4,cup,blanched slivered,481.78,0.0,0.0,54.5
white sugar,2,tablespoons,,1548.0,399.92,0.0,0.0
