Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
milk,1 1/2,cups,,223.26,17.4948,11.529000000000002,11.9682
butter,4,tablespoons,,342.0,15.714,10.686,28.8
egg,2,,beaten,143.0,0.72,12.56,9.51
white sugar,1/2,cup,,387.0,99.98,0.0,0.0
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
bread flour,4,cups,,1978.28,397.4644,65.6504,9.0968
active yeast,3,teaspoons,,-,-,-,-
salt,1,teaspoon,,-,-,-,-
white sugar,1/4,cup,,387.0,99.98,0.0,0.0
brown sugar,1/4,cup,,209.0,53.9495,0.066,0.0
bread flour,1/3,cup,,1978.28,397.4644,65.6504,9.0968
butter,1/4,cup,,342.0,15.714,10.686,28.8
egg,1,,,143.0,0.72,12.56,9.51
water,1,tablespoon,,0.0,0.0,0.0,0.0
