Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
buttermilk,1,cup,,-,-,-,-
baking soda,1,teaspoon,,0.0,0.0,0.0,0.0
butter,1/2,cup,,684.0,31.428,21.372,57.6
shortening,1/2,cup,,906.1,0.0,0.0,102.5
white sugar,2,cups,,1548.0,399.92,0.0,0.0
egg,5,,,357.5,1.8,31.4,23.775
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
coconut,1,cup,flaked,283.2,12.184000000000001,2.6639999999999997,26.791999999999998
baking powder,1,teaspoon,,2.438,1.2742,0.0,0.0
purpose flour,2,cups,,-,-,-,-
cream cheese,8,ounces,,669.06,7.938,16.1028,64.8648
butter,1/2,cup,,684.0,31.428,21.372,57.6
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
confectioner sugar,4,cups,,-,-,-,-
cream,2,tablespoons,,99.0,1.995,1.089,10.404000000000002
walnut,1/2,cup,chopped,963.56,0.0,0.0,109.0
coconut,1,cup,sweetened flaked,283.2,12.184000000000001,2.6639999999999997,26.791999999999998
