Ingredient,Quantity,Unit,Additional Information
Pork Shoulder,1.5,pounds,
Olive Oil,1,tablespoon,
Yellow Onion,1,,
Garlic,3,cloves,3
Cumin,1,tablespoon,
Chili Powder,1,tablespoon,
Dried Oregano,0.5,teaspoon,
Paprika,0.5,teaspoon,
Salt,1,teaspoon,
Black Pepper,0.5,teaspoon,
Chicken Broth,1,cup,
Apple Cider Vinegar,0.25,cup,
Flour Tortillas - large,6,,
Cheddar cheese - shredded,1.5,cups,
Fillings, , , "(optional; cooked rice, black beans, pinto beans, lettuce, pico de gallo, guacamole, sour cream)"
