Ingredient,Quantity,Unit,Additional Information
Firm tofu,1,block,(extra-firm),
Greek yogurt,0.5,cup,
Ginger-garlic paste,1,tablespoon,
Garam masala,1,teaspoon,
Coriander powder,1,teaspoon,
Cumin powder,0.5,teaspoon,
Turmeric powder,0.25,teaspoon,
Red chili powder,0.5,teaspoon,"(optional)"
Onion- large,1,,
Tomatoes - large,2,,
Cashews,0.25,cup,
Ginger-garlic paste,1,tablespoon,
Garam masala,1,teaspoon,
Coriander powder,1,teaspoon,
Cumin powder,0.5,teaspoon,
Red chili powder,0.5,teaspoon,
Turmeric powder,0.25,teaspoon,
Clarified butter (ghee),2,tablespoons,
Coconut milk,1,13.5-ounce can,
Kasuri methi (dried fenugreek leaves),1,teaspoon,
Salt,to taste,,
