Ingredient,Quantity,Unit,Additional Information
Boneless Skinless Chicken Breasts,2,,
Olive Oil,1.5,tablespoons,
Yellow Onion,1,,
Garlic,2,cloves,,
Chili Powder,1,tablespoon,
Cumin,1,teaspoon,
Smoked Paprika,0.5,teaspoon,(optional)
Dried Oregano,0.5,teaspoon,
Salt,0.75,teaspoon,
Black Pepper,0.25,teaspoon,
Crushed Tomatoes,1,14-ounce can,(fire-roasted preferred)
Chicken Broth,1,cup,
Corn Tortillas,12,,
Cheddar Cheese - shredded,1.5,cups,"(you can substitute Monterey Jack, or Mexican blend)"
Fillings,,,"(optional; cooked rice, black beans, pinto beans)"
Toppings,,,"(optional; sour cream, chopped onion, cilantro, chopped avocado, salsa)"
