Ingredient,Quantity,Unit,Additional Information
Olive oil,3,tablespoons,
Yellow onion - large,1,,(diced)
Garlic,3,cloves,,minced
Eggplant - medium,1,,(cubed)
Zucchini - medium,1,,(cubed)
Yellow squash - medium,1,,(cubed)
Red bell pepper - medium,1,,(diced)
Roma tomatoes - medium,4,,"(peeled, seeded, and chopped)"
Fresh thyme,2,sprigs,
Bay leaf,1,,
Salt,to taste,,
Freshly ground black pepper,to taste,,
"Bouquet garni (parsley, thyme, bay leaf tied together) - small",,,(optional)
Fresh basil leaves,,,"(optional, for garnish)"
