Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
elbow macaroni,2,cups,,-,-,-,-
tomato,2,,ripe chopped,124.1379,27.5262,6.4768,1.0795
green bell pepper,1/2,,seeded chopped,-,-,-,-
cucumber,1/4,,chopped,3.99,0.7182,0.1962,0.0532
green onion,1,,chopped,19.17,4.0754,0.6887,0.3337
white sugar,2/3,cup,,516.0,133.3067,0.0,0.0
vegetable oil,1/2,cup,,939.58,0.0,0.0,109.0
ketchup,1/3,cup,,-,-,-,-
vinegar,1/4,cup,,12.5475,0.5557,0.0,0.0
salt,1,teaspoon,,-,-,-,-
paprika,1,teaspoon,,6.486000000000001,1.2418,0.3252,0.2965
black pepper,1/4,teaspoon,ground,1.4432,0.3677,0.0597,0.0187
