Ingredient,Quantity,Unit,Additional Information
Olive oil,2,tablespoons,
Onion - large,1,,"chopped"
Garlic,3,cloves,"minced"
bell pepper - large,1,,
Carrots - medium,2,,"diced"
Celery,2,stalks,"diced"
Zucchini - medium,1,,"chopped"
diced tomatoes,1,28-ounce can
Tomato paste,2,tablespoons,
Kidney beans,1,15-ounce can,"drained and rinsed"
Black beans,15,ounces,"drained and rinsed"
Corn kernels,1,cup,
Vegetable broth,2,cups,
Chili powder,2,tablespoons,
Cumin,2,teaspoons,
Paprika,1,teaspoon,
Oregano,1,teaspoon,
Salt,1,teaspoon,
Black pepper,0.5,teaspoon,
Red pepper flakes,0.25,teaspoon,
Bay leaf,1,,
