Ingredient,Quantity,Unit,Additional Information
Green beans,1,pound,(trimmed)
Neutral oil,3,tablespoons,(peanut or vegetable)
Garlic,4,cloves,(minced),
Minced ginger,1,tablespoon,
Dried red chilies - whole,4,,"(optional, adjust to spice preference)"
Sichuan peppercorns,1,tablespoon (toasted, optional)
Ground Sichuan peppercorn,0.5,teaspoon,"(optional, adjust to spice preference)"
Soy sauce,1,tablespoon,"(light or dark, to taste)"
Shaoxing wine (or dry sherry),1,tablespoon,
Sugar,1,teaspoon,
Toasted sesame oil,1,teaspoon,
Salt,to taste,,
Green onions,for garnish,,(optional)
