Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
butter,3/4,cup,,1026.0,47.141999999999996,32.058,86.4
dark brown sugar,3/4,cup,,-,-,-,-
pineapple juice,3/4,cup,unsweetened,99.375,24.1312,0.675,0.225
purpose flour,1 1/2,cups,,-,-,-,-
baking powder,2,teaspoons,,4.876,2.5484,0.0,0.0
salt,1/2,teaspoon,,-,-,-,-
white sugar,1/2,cup,,387.0,99.98,0.0,0.0
egg,3,,,214.5,1.08,18.84,14.265
vanilla extract,1/2,teaspoon,,6.047999999999999,0.2656,0.0013,0.0013
pineapple,1,,peeled cored cut,82.5,21.648000000000003,0.8909999999999999,0.198
