Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
lentil,1,cup,rinsed,81.62,17.0478,6.8992,0.4235
water,2,cups,,0.0,0.0,0.0,0.0
salt,1,teaspoon,,-,-,-,-
cumin,1,tablespoon,ground,22.5,2.6544,1.0686,1.3362
garlic powder,1,tablespoon,,32.107,7.0548,1.6054,0.0708
white rice,3/4,cup,rinsed,506.4375,110.9306,9.8929,0.9158
water,3/4,cup,,0.0,0.0,0.0,0.0
salt,1,teaspoon,,-,-,-,-
olive oil,2,tablespoons,,238.68,0.0,0.0,27.0
vegetable oil,1/4,cup,,469.79,0.0,0.0,54.5
white onion,3,,sliced,192.0,44.832,5.28,0.48
