Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
active yeast,4 1/2,teaspoons,,-,-,-,-
water,1/2,cup,,0.0,0.0,0.0,0.0
buttermilk,1 1/4,cups,,-,-,-,-
egg,2,,,143.0,0.72,12.56,9.51
purpose flour,5 1/2,cups,,-,-,-,-
margarine,1/2,cup,softened,811.0319999999999,1.0152,1.0152,90.804
white sugar,1/2,cup,,387.0,99.98,0.0,0.0
baking powder,2,teaspoons,,4.876,2.5484,0.0,0.0
salt,2,teaspoons,,-,-,-,-
butter,2,tablespoons,softened,171.0,7.857,5.343,14.4
white sugar,1/2,cup,,387.0,99.98,0.0,0.0
cinnamon,2,teaspoons,ground,-,-,-,-
pecan,1,cup,chopped,286.3467,53.663999999999994,5.8933,6.032
brown sugar,1/2,cup,,418.0,107.899,0.132,0.0
butter,1/2,cup,melted,171.0,7.857,5.343,14.4
