Ingredient,Quantity,Unit,Additional Information
chicken pieces,3,pounds,"(cut into wings, drumsticks, or thighs)"
gochujang (Korean chili paste),0.33,cup,
honey,0.33,cup,
soy sauce,0.33,cup,
garlic,4,cloves,
ginger,1,tablespoon,,minced
Korean red pepper flakes (gochugaru),1,tablespoon,
vegetable oil,4,cups,
cornstarch,1,cup,
potato starch,1,cup,"(or substitute all-purpose flour, 1.5 cups)"
water,1,cup,
white pepper,1,teaspoon,ground
green onions,,,"(optional,chopped,for garnish)"
sesame seeds,,,"(optional,for garnish)"
