Ingredient,Quantity,Unit,Additional Information
boneless skinless chicken breasts or thighs,1,pound,
eggs - large,2,,
cornstarch,3,tablespoons,divided
all-purpose flour,0.5,cup,
vegetable oil,as needed,,for frying
orange juice,1,cup,
chicken broth,1,cup,
soy sauce,0.25,cup,
packed light brown sugar,0.25,cup,
rice vinegar,1,tablespoon,
sesame oil,1,tablespoon,
garlic,1,tablespoon,minced
ginger,0.5,teaspoon,minced
red pepper flakes,1,pinch,
orange zest,1,tablespoon,grated
green onions,,,"(chopped,for garnish)"
