Ingredient,Quantity,Unit,Additional Information
Boneless skinless veal cutlets,4,,"(thinly sliced, about 1/4-inch thick)"
All-purpose flour,0.25,cup,
Salt,to taste,,
Black pepper,to taste,,
Olive oil,2,tablespoons,
Unsalted butter,2,tablespoons,
Shallot - medium,1,,"(or yellow onion, chopped)"
Garlic,2,cloves,
White button mushrooms,8,ounces,"(sliced, you can substitute cremini)"
Marsala wine (dry),0.75,cup,
Low-sodium chicken broth,0.5,cup,
Fresh parsley,0.25,cup, "(optional, chopped, for garnish)""
Lemon juice,1,tablespoon,"(optional, freshly squeezed)"
