Ingredient,Quantity,Unit,Additional Information
soft tofu,1,12-ounce package,
anchovy kelp stock (kombu dashi),4,cups,
Korean red pepper flakes (gochugaru),1,tablespoon,
gochujang (Korean chili paste),1,tablespoon,
doenjang (Korean soybean paste),1,tablespoon,
water,2,cups,
garlic,2,cloves,
onion - medium,0.33,,
shiitake mushrooms,1,cup,"(optional, sliced)"
zucchini,0.5,cup,"(optional, sliced)"
green onion,1,stalk,"(green and white parts,chopped)"
pork belly,4,ounces,(optional,thinly sliced)
cooked shrimp,0.5,cup,optional
egg - large,1,,optional
neutral oil,1,tablespoon,
sesame oil,to taste,,
salt,to taste,,
black pepper,to taste,,
